id;type;name;link;description;icon;longitude;latitude
21;Feature;Wouwou Pump;;;PumpSVG-02;30.06236;06.16345
22;Feature;Mapuordit Pump;;;PumpSVG-03;30.04926;06.20546
23;Feature;Aruau Pump;;;PumpSVG-03;30.37549;06.39063
24;Feature;Kebek Pump;;;PumpSVG-04;29.43099;07.42717
25;Feature;Nekyeth Pump;;;PumpSVG-02;29.42789;07.41532
26;Feature;Maper-Nekyeth Pump;;;PumpSVG-02;29.42830;07.41222
27;Feature;Ajomdeng Pump;;;PumpSVG-04;29.43884;07.42091
28;Feature;Yeki Yeki Pump;;;PumpSVG-04;30.38228;06.23291
29;Feature;Pabur Pump;;;PumpSVG-02;30.36421;06.26024
30;Feature;Mai Bor Pump;;;PumpSVG-02;30.37741;06.27897
31;Feature;Ngot Loi Pump;;;PumpSVG-03;30.40013;06.38035
32;Feature;Mayen Akuilek Pump;;;PumpSVG-02;30.38663;06.38628
33;Feature;Panpep village Pump;;;PumpSVG-04;29.36869;07.35153
34;Feature;Halpiny Pump;;;PumpSVG-04;29.36893;07.37620
35;Feature;Duop/Metajuongbel village Pump;;;PumpSVG-03;29.47181;07.42526
36;Feature;Amethic village Pump;;;PumpSVG-03;29.42963;07.37078
37;Feature;Rual-Ajuot Pump;;;PumpSVG-02;29.42093;07.28374
38;Feature;Manyang /Panyang Pump;;;PumpSVG-02;29.43512;07.21554
39;Feature;Kal village Pump;;;PumpSVG-02;29.17889;07.15722
40;Feature;Tilliu village Pump;;;PumpSVG-02;29.25067;07.16802
41;Feature;Ngaweng village Pump;;;PumpSVG-02;29.23796;07.19641
42;Feature;Nguek-Arial Village Pump;;;PumpSVG-03;29.15194;06.57691
43;Feature;Rainhom village Pump;;;PumpSVG-03;30.21801;06.14971
44;Feature;Dhiot village Pump;;;PumpSVG-04;30.23297;06.17158
45;Feature;Muolyut village Pump;;;PumpSVG-02;30.23543;06.13730
46;Feature;Gung-anyier village Pump;;;PumpSVG-02;30.13752;06.05669
47;Feature;Turju village Pump;;;PumpSVG-04;30.18490;06.09381
48;Feature;Ilual village 2 Pump;;;PumpSVG-04;30.13370;06.17204
49;Feature;Anuol Centre Pump;;;PumpSVG-02;30.22885;06.15362
50;Feature;Mageng village Pump;;;PumpSVG-02;30.20064;06.19167
